State	NO2	O3	SO2	CO	Date
New Hampshire	4.442317023	0.025634517	0.898275874	0.186672023	2014
New Hampshire	3.32026043	0.029951355	0.814025989	0.18277433	2015
New Hampshire	4.294245949	0.031650966	0.803087186	0.205735898	2016
New Jersey	20.52750851	0.020262768	6.258201939	0.586452542	2000
New Jersey	23.12291533	0.022400024	5.710904436	0.61523749	2001
New Jersey	24.07468395	0.023180811	5.447029029	0.582238919	2002
New Jersey	23.69898737	0.021160725	6.702616987	0.645196567	2003
New Jersey	19.22858799	0.021965759	5.600894834	0.520403539	2004
New Jersey	19.85230786	0.023895512	4.911721469	0.467388185	2005
New Jersey	17.47592889	0.024464343	3.920988591	0.375096747	2006
New Jersey	18.00323904	0.024148639	3.654081023	0.284978783	2007
New Jersey	15.71529046	0.02625966	3.258661604	0.238798325	2008
New Jersey	21.03529215	0.022285983	1.975433351	0.35842146	2011
New Jersey	15.60911433	0.025578553	1.169316858	0.284213129	2012
New Jersey	15.236753	0.024276122	0.55119101	0.27866453	2013
New Jersey	16.08126918	0.023692695	0.579583829	0.278959057	2014
New Jersey	15.0230802	0.024570388	0.283341431	0.283318909	2015
New Mexico	13.39721044	0.032708249	0.391065556	0.206670627	2011
New Mexico	13.74208763	0.031965468	0.631793345	0.185212866	2012
New Mexico	11.76671093	0.033077571	0.784762387	0.213650323	2013
New Mexico	11.61573313	0.030866323	0.556496487	0.220608504	2014
New Mexico	11.18275252	0.02984992	0.672508449	0.229258855	2015
New York	23.16838671	0.021247588	7.167089062	0.465141363	2000
New York	25.03653977	0.020928449	7.792088671	0.491424609	2001
New York	23.96983184	0.022011654	6.813131821	0.440114304	2002
New York	22.88760046	0.021149246	7.449551356	0.527534653	2003
New York	20.88393106	0.021120543	7.00235244	0.437523648	2004
New York	21.34152429	0.022636757	7.359826371	0.401958562	2005
New York	19.23623699	0.023703423	4.702464311	0.31756804	2006
New York	18.54122391	0.023019918	4.982461643	0.364178893	2007
New York	16.70422255	0.024348338	4.53531068	0.316797376	2008
New York	12.97684376	0.025202735	3.327689237	0.238800726	2009
New York	12.98050633	0.028120914	3.026262413	0.304951991	2010
New York	13.09543376	0.025919355	2.471022054	0.277814839	2011
New York	18.09476556	0.024573977	2.494685529	0.34516942	2012
New York	17.91965874	0.024628092	1.788472196	0.306689283	2013
New York	16.92059226	0.024053095	1.451086258	0.273377948	2014
New York	17.16599354	0.023756727	0.988826463	0.260749646	2015
New York	17.84747282	0.023971519	1.035339711	0.292245628	2016
North Carolina	15.17335459	0.03465239	3.664188401	0.659356796	2000
North Carolina	13.8536143	0.03374668	3.266752495	0.539269696	2001
North Carolina	12.26552098	0.037135282	2.721888892	0.45247422	2002
North Carolina	11.95526336	0.030721868	2.899663361	0.487513372	2003
North Carolina	10.63006549	0.030785012	2.378770376	0.422815801	2004
North Carolina	12.43363245	0.032038828	2.172167	0.519328177	2005
North Carolina	12.28518843	0.032401222	2.658168394	0.311470181	2006
North Carolina	13.91644537	0.029454453	2.940360992	0.443716084	2007
North Carolina	11.20820337	0.028049355	2.070346963	0.228934623	2008
North Carolina	9.851958403	0.025921466	0.8021515	0.21596114	2009
North Carolina	11.68925136	0.028404657	0.904411535	0.241612152	2010
North Carolina	9.995173923	0.029280113	0.570804685	0.44819143	2011
North Carolina	8.671511398	0.02801424	0.233715325	0.184763398	2012
North Carolina	8.482232185	0.025435673	0.253827913	0.189192895	2013
North Carolina	7.751915205	0.026784735	0.331124222	0.288853532	2014
North Carolina	6.946783565	0.026806852	0.277711557	0.258434929	2015
North Carolina	7.471213838	0.029335038	0.226151991	0.245659885	2016
North Dakota	5.347736169	0.024832458	0.183920242	0.173422464	2008
North Dakota	4.921614116	0.025200299	0.258868222	0.165369172	2009
North Dakota	5.418301605	0.026455033	0.271008156	0.171961726	2010
North Dakota	4.477427017	0.025588099	0.287710515	0.166499581	2011
North Dakota	4.581983247	0.025031937	0.214255962	0.176140484	2012
North Dakota	4.762328992	0.029309844	0.205600004	0.156186416	2013
North Dakota	4.486590612	0.027119358	0.151771759	0.160502205	2014
North Dakota	4.299024267	0.024690897	0.129518201	0.169622763	2015
North Dakota	4.671009923	0.025867692	0.238651231	0.17893922	2016
Ohio	4.509151141	0.028097692	2.715888943	0.334856847	2009
Ohio	5.079082437	0.038088208	1.459221306	0.323583186	2010
Ohio	14.71531416	0.02495564	4.583552236	0.285363732	2011
Ohio	13.82928049	0.02336949	3.15216099	0.278169777	2012
Ohio	12.6382406	0.023429307	2.323545964	0.244096937	2013
Ohio	12.01543785	0.023701079	2.260088032	0.2480766	2014
Ohio	12.47510041	0.023930875	2.205507097	0.269602841	2015
Ohio	9.760795331	0.025508181	1.694608447	0.278554939	2016
Oklahoma	4.774418108	0.037290926	0.84979258	0.047257145	2000
Oklahoma	8.275204238	0.034315944	1.012649439	0.033588967	2001
Oklahoma	6.610908235	0.031231485	1.010036646	0.060168054	2002
Oklahoma	6.293193078	0.03551653	1.049201513	0.041801655	2003
Oklahoma	5.403060707	0.032494709	0.920654011	0.016169576	2004
Oklahoma	8.13934018	0.03394531	0.42445498	0.015942734	2005
Oklahoma	7.873302866	0.030522582	1.903480207	0.11288518	2006
Oklahoma	7.783810377	0.026185076	0.644656065	0.206148091	2007
Oklahoma	6.231362727	0.026583086	0.582687655	0.153271408	2008
Oklahoma	6.455034567	0.028390013	0.640479188	0.217499098	2009
Oklahoma	6.442594772	0.029238366	0.781735462	0.218658708	2010
Oklahoma	6.743543982	0.03581865	0.831880192	0.229074275	2011
Oklahoma	6.482979776	0.032670897	0.45982519	0.169592374	2012
Oklahoma	6.744320406	0.030170723	0.340801017	0.172595582	2013
Oklahoma	6.022743599	0.029898891	0.163427969	0.156684786	2014
Oklahoma	7.805979409	0.026096294	0.680710274	0.238577236	2015
Oklahoma	8.125384904	0.025687795	1.475236479	0.277340452	2016
Oregon	11.42532046	0.017612108	1.162716446	0.328699234	2007
Oregon	10.95249709	0.019139314	0.965026854	0.337790619	2008
Oregon	10.35954348	0.019251651	1.590771245	0.324771859	2009
Oregon	9.054466978	0.019020553	1.323768759	0.324443441	2010
Oregon	9.13221409	0.018564717	0.728607661	0.337374932	2011
Oregon	9.063791747	0.021104802	0.615948701	0.296569272	2012
Oregon	9.730130673	0.017591111	1.063907111	0.29113194	2013
Oregon	8.56319433	0.020863309	0.850816129	0.241116754	2014
Oregon	9.187567529	0.019680351	0.456191129	0.274647616	2015
Pennsylvania	16.13437121	0.02454464	5.154054753	0.304174719	2000
Pennsylvania	15.96557356	0.027185127	5.265285365	0.318947505	2001
Pennsylvania	14.58354315	0.028252425	5.041951929	0.259264064	2002
Pennsylvania	14.0619207	0.025351182	4.910823397	0.26439324	2003
Pennsylvania	13.62794458	0.024402086	4.596080935	0.324442139	2004
Pennsylvania	13.45335335	0.027757864	5.495786429	0.214723855	2005
Pennsylvania	12.45858234	0.027406331	5.005081208	0.230119577	2006
Pennsylvania	12.13926369	0.028703666	5.164736579	0.236813865	2007
Pennsylvania	11.10567483	0.027022068	3.969465376	0.185765858	2008
